[addon.wdf]
[atom.wdf]
[firework.wdf]
[goods.wdf]
[item.wdf]
[magic.wdf]
[mapani.wdf]
[misc.wdf]
[shape.wd2]
C4953810	2周年庆\圣诞树	
4A2078C9	2周年庆\树	
70B0708E	2周年庆\树苗	
F6F5EC2F	2周年庆\灯笼1	
7EC9DC23	2周年庆\灯笼2	
45949CCD	2周年庆\灯笼3	
91F296A2	2周年庆\灯笼4	
544A2675	2周年庆\蟠桃树	
FF2089D9	2周年庆\西瓜	
94A738E1	2周年庆\西瓜苗	
E63A6496	儿童法术\未知	
56FFF012	婚庆\摇钱树	
C880FF79	婚庆\银两	
639E73B0	帮派竞赛\帮派建筑1	
C28024C8	帮派竞赛\帮派建筑2	
07A313E8	帮派竞赛\帮派建筑3	
05DFD079	战神山\杂物\战神箱	
C0C679A6	战神山\杂物\材料	
9DE85818	战神山\杂物\火焰1	
79A04556	战神山\杂物\火焰2	
4D625F53	战神山\杂物\火焰3	
151C8D0D	战神山\杂物\火焰4	
C4FEF698	战神山\杂物\火焰5	
5810CFD4	未知_小点	
DC8D1035	牧场\鹦鹉	
[shape.wd3]
BD8A1D3F	奥运\圣火盆	
DBF160FC	奥运\火焰_中	
383120FB	奥运\火焰_大	
869F3A91	奥运\火焰_小	
2FA413AE	爪刺\贵霜之牙\骨精灵\待战 	
673FB7FB	生辰宴\桌子	
E3255D9E	生辰宴\泡泡_中	
DC77F739	生辰宴\泡泡_大	
15988DBD	生辰宴\泡泡_小	
42E7C21B	生辰宴\蛋糕_1层	
D371D9CF	生辰宴\蛋糕_2层	
806E7978	生辰宴\蜡烛	
A4AED3B5	道具\副本\人参果	
443B90B2	道具\副本\树木1	
6B8FDD0E	道具\副本\树木2	
53418336	道具\副本\茶铺	
B4A8A906	道具\风筝_动	
756B6A67	道具\风筝_静	
[shape.wd4]
[shape.wd5]
[shape.wd6]
[shape.wd7]
[shape.wdf]
67B85348	NPC\无常白1	
837D7776	NPC\无常白2	
B181318C	NPC\无常黑1	
F250443E	NPC\无常黑2	
48EFADFA	NPC\机关人	
17194AA8	NPC\结婚1	
A7058D32	NPC\结婚2	
0405C585	NPC\观音姐姐	
046D74A8	人形\倒地	
BFCA22B3	人形\待战	
A2A59267	人形\攻击	
C21FDC40	人形\施法	
C69C5C9B	人形\行走	
54164C29	人形\被击中	
0CD46D49	人形\跑去	
6144B148	人形\返回	
F7A4F1E2	人形\防御	
7726BA66	人形\静立	
DCE4B562	人物阴影	
02AF8290	物品\公告牌	
EFFD57F2	物品\大宝箱	
3CF6E5D1	物品\小雪人	
7BAD9A66	物品\打铁炉	
31EA6E7F	物品\缝纫台	
DA74178C	物品\雪人1	
BE52981A	物品\雪人2	
F6655BCB	物品\雪人3	
7ED2C0BE	物品\雪人4	
6843DF1A	物品\雪人5	
[smap.wdf]
[waddon.wdf]
[wzife.wdf]
