ID	name	nickname	desc	takeNo	x	y	z	rx	ry	rz	fov	isPhysical	focalLen	sensorSize	motionShotTime	motionShotMode	motionShotTimeInterval	motionShotFbxPath
7	SCam_F	预览：正		-1	0	1.111299	8.069998	0	180	0	26.99141	true	50	35.99993,23.99995				
8	SCam_F1	预览：正俯	desc	-1	0.708643	6.080902	12.21548	27.6	182.8	0	37.84922	true	35	35.99993,23.99995				
9	SCam_L	预览：左	desc	-1	4.049126	0.977096	5.567288	0	217.2	0	26.99141	true	50	35.99993,23.99995				
10	SCam_R	预览：右	desc	-1	-5.160626	1.144793	6.902973	1.2	141.2	0	26.99141	true	50	35.99993,23.99995				
11	Cam_la_J	拉:中近景	CamFront_la_J	0	0	1.589998	3.269999	5	180	0	19.45512	true	70	35.99993,23.99995				
12	Cam_la_Q	拉:人全	CamFront_la_Q	1	0	0.770515	3.570662	356.633	180	0	26.99141	true	50	35.99993,23.99995				
13	Cam_la_Y	拉:大远景	CamFront_la_Y	2	0	10.23571	36.1195	7	180	0	61.92741	true	20	35.99993,23.99995				
14	Cam_tui	nickname	CamFront_tui	3	0	0	0	0	180	0	61.92741	true	20	35.99993,23.99995				
15	Cam_tui_Fu	推:俯	CamFront_tui_Fu	4	0	35.14	34.24	45	180	0	67.38003	true	18	35.99993,23.99995				
16	Cam_tui_Q_Z	推:屏全-人中	CamFront_tui_Q_Z	5	0	0.519999	11.73	353	180	0	43.60274	true	30	35.99993,23.99995				
17	Cam_tui_Y_Q	推:远-全	CamFront_tui_Y_Q	6	0	9.149998	48.34999	0	180	0	61.92741	true	20	35.99993,23.99995				
18	Cam_tuila_J	推拉:近	CamFront_tuila_J	7	0	1.279999	3.359998	0	180	0	22.61982	true	60	35.99993,23.99995				
19	Cam_youyi_Q	右移:全	CamFront_youyi_Q	8	1.449998	0.629998	6.17	351	188	0	37.84922	true	35	35.99993,23.99995				
20	Cam_zhuan	nickname	CamFront_zhuan	-1	0	0	0	0	180	0	33.39843	true	40	35.99993,23.99995				
21	Cam_zhuan_Fu	转:俯	CamFront_zhuan_Fu	9	21.27606	32.58414	36.41386	32.12008	212	0	61.92741	true	20	35.99993,23.99995				
22	Cam_zhuan_J_Q	转:近-全	CamFront_zhuan_J_Q	10	0	1.36	2.589998	2	180	0	19.45512	true	70	35.99993,23.99995				
23	Cam_zhuan_Q	转:人全	CamFront_zhuan_Q	11	-1.586017	0.398258	3.976217	350.8244	162	0	37.84922	true	35	35.99993,23.99995				
24	LCam_tui_J	L推:近	desc	-1	2.052728	1.539999	1.48108	5	236	0	17.0615	true	80	35.99993,23.99995				
25	LCam_tui_Q	L推:人全	desc	-1	2.12239	1.088322	2.863013	0.543296	216.8239	0	28.07244	true	48	35.99993,23.99995				
26	LCam_zhuan_Q	L转:大全	desc	-1	4.334134	2.707895	19.80209	359.6645	190.7986	0.497427	33.39843	true	40	35.99993,23.99995				
27	RCam_la_J	R推:特	desc	-1	-2.350483	1.30578	1.046502	0	114	0	19.45512	true	70	35.99993,23.99995				
28	RCam_tui_Q	R推:全	desc	-1	-6.938012	0.854991	3.212074	356	113.9253	0	33.39843	true	40	35.99993,23.99995				
29	RCam_tui_Q_J	R推:中-近	desc	-1	-2.940913	0.950574	1.485455	356	110.598	0	35.93821	true	37	35.99993,23.99995				
